Frame 0: Cars=10, Status=4 points (Congested), Density=0.24, AvgSpeed=5.06, Score=4
Frame 1: Cars=9, Status=4 points (Congested), Density=0.24, AvgSpeed=6.97, Score=4
Frame 2: Cars=9, Status=4 points (Congested), Density=0.23, AvgSpeed=6.87, Score=4
Frame 3: Cars=9, Status=4 points (Congested), Density=0.23, AvgSpeed=6.78, Score=4
Frame 4: Cars=9, Status=4 points (Congested), Density=0.22, AvgSpeed=6.69, Score=4
Frame 5: Cars=9, Status=4 points (Congested), Density=0.22, AvgSpeed=6.54, Score=4
Frame 6: Cars=9, Status=4 points (Congested), Density=0.22, AvgSpeed=6.46, Score=4
Frame 7: Cars=9, Status=4 points (Congested), Density=0.21, AvgSpeed=6.36, Score=4
Frame 8: Cars=9, Status=4 points (Congested), Density=0.21, AvgSpeed=6.26, Score=4
Frame 9: Cars=8, Status=4 points (Congested), Density=0.20, AvgSpeed=6.16, Score=4
Frame 10: Cars=8, Status=4 points (Congested), Density=0.20, AvgSpeed=6.07, Score=4
Frame 11: Cars=8, Status=4 points (Congested), Density=0.19, AvgSpeed=5.96, Score=4
Frame 12: Cars=8, Status=4 points (Congested), Density=0.19, AvgSpeed=5.85, Score=4
Frame 13: Cars=8, Status=5 points (Congested), Density=0.19, AvgSpeed=5.76, Score=5
Frame 14: Cars=8, Status=5 points (Congested), Density=0.18, AvgSpeed=5.64, Score=5
Frame 15: Cars=8, Status=5 points (Congested), Density=0.18, AvgSpeed=5.54, Score=5
Frame 16: Cars=7, Status=5 points (Congested), Density=0.18, AvgSpeed=5.45, Score=5
Frame 17: Cars=7, Status=5 points (Congested), Density=0.17, AvgSpeed=5.41, Score=5
Frame 18: Cars=7, Status=5 points (Congested), Density=0.17, AvgSpeed=5.34, Score=5
Frame 19: Cars=7, Status=5 points (Congested), Density=0.16, AvgSpeed=5.27, Score=5
Frame 20: Cars=7, Status=5 points (Congested), Density=0.16, AvgSpeed=5.19, Score=5
Frame 21: Cars=7, Status=5 points (Congested), Density=0.15, AvgSpeed=5.12, Score=5
Frame 22: Cars=6, Status=5 points (Congested), Density=0.15, AvgSpeed=5.04, Score=5
Frame 23: Cars=6, Status=5 points (Congested), Density=0.15, AvgSpeed=4.93, Score=5
Frame 24: Cars=6, Status=5 points (Congested), Density=0.14, AvgSpeed=4.86, Score=5
Frame 25: Cars=6, Status=5 points (Congested), Density=0.14, AvgSpeed=4.82, Score=5
Frame 26: Cars=6, Status=5 points (Congested), Density=0.14, AvgSpeed=4.78, Score=5
Frame 27: Cars=6, Status=5 points (Congested), Density=0.13, AvgSpeed=4.73, Score=5
Frame 28: Cars=6, Status=5 points (Congested), Density=0.13, AvgSpeed=4.67, Score=5
Frame 29: Cars=6, Status=5 points (Congested), Density=0.12, AvgSpeed=4.58, Score=5
Frame 30: Cars=6, Status=5 points (Congested), Density=0.12, AvgSpeed=4.51, Score=5
Frame 31: Cars=6, Status=5 points (Congested), Density=0.12, AvgSpeed=4.45, Score=5
Frame 32: Cars=6, Status=5 points (Congested), Density=0.11, AvgSpeed=4.39, Score=5
Frame 33: Cars=6, Status=5 points (Congested), Density=0.11, AvgSpeed=4.32, Score=5
Frame 34: Cars=6, Status=5 points (Congested), Density=0.11, AvgSpeed=4.26, Score=5
Frame 35: Cars=6, Status=5 points (Congested), Density=0.10, AvgSpeed=4.18, Score=5
Frame 36: Cars=6, Status=5 points (Congested), Density=0.10, AvgSpeed=4.10, Score=5
Frame 37: Cars=6, Status=5 points (Congested), Density=0.09, AvgSpeed=4.04, Score=5
Frame 38: Cars=6, Status=5 points (Congested), Density=0.09, AvgSpeed=3.94, Score=5
Frame 39: Cars=6, Status=5 points (Congested), Density=0.09, AvgSpeed=3.85, Score=5
Frame 40: Cars=6, Status=5 points (Congested), Density=0.08, AvgSpeed=3.78, Score=5
Frame 41: Cars=6, Status=5 points (Congested), Density=0.08, AvgSpeed=3.73, Score=5
Frame 42: Cars=6, Status=5 points (Congested), Density=0.08, AvgSpeed=3.67, Score=5
Frame 43: Cars=6, Status=5 points (Congested), Density=0.07, AvgSpeed=3.62, Score=5
