Frame 0: Cars=11, Status=5 points (Congested), Density=0.06, AvgSpeed=1.78, Score=5
Frame 1: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.76, Score=5
Frame 2: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.73, Score=5
Frame 3: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.73, Score=5
Frame 4: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.70, Score=5
Frame 5: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.68, Score=5
Frame 6: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.64, Score=5
Frame 7: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.61, Score=5
Frame 8: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.58, Score=5
Frame 9: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.53, Score=5
Frame 10: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.49, Score=5
Frame 11: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.44, Score=5
Frame 12: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.41, Score=5
Frame 13: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.39, Score=5
Frame 14: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.35, Score=5
Frame 15: Cars=11, Status=5 points (Congested), Density=0.07, AvgSpeed=1.32, Score=5
Frame 16: Cars=11, Status=5 points (Congested), Density=0.08, AvgSpeed=1.31, Score=5
Frame 17: Cars=11, Status=5 points (Congested), Density=0.08, AvgSpeed=1.29, Score=5
Frame 18: Cars=11, Status=5 points (Congested), Density=0.08, AvgSpeed=1.25, Score=5
Frame 19: Cars=11, Status=5 points (Congested), Density=0.08, AvgSpeed=1.23, Score=5
Frame 20: Cars=11, Status=5 points (Congested), Density=0.08, AvgSpeed=1.22, Score=5
Frame 21: Cars=11, Status=5 points (Congested), Density=0.08, AvgSpeed=1.20, Score=5
Frame 22: Cars=11, Status=5 points (Congested), Density=0.09, AvgSpeed=1.19, Score=5
Frame 23: Cars=11, Status=6 points (Heavy Traffic), Density=0.09, AvgSpeed=1.16, Score=6
Frame 24: Cars=11, Status=6 points (Heavy Traffic), Density=0.09, AvgSpeed=1.14, Score=6
Frame 25: Cars=11, Status=6 points (Heavy Traffic), Density=0.09, AvgSpeed=1.13, Score=6
Frame 26: Cars=11, Status=6 points (Heavy Traffic), Density=0.09, AvgSpeed=1.10, Score=6
Frame 27: Cars=11, Status=6 points (Heavy Traffic), Density=0.09, AvgSpeed=1.07, Score=6
Frame 28: Cars=11, Status=6 points (Heavy Traffic), Density=0.09, AvgSpeed=1.05, Score=6
Frame 29: Cars=11, Status=6 points (Heavy Traffic), Density=0.10, AvgSpeed=1.02, Score=6
Frame 30: Cars=11, Status=6 points (Heavy Traffic), Density=0.10, AvgSpeed=0.99, Score=6
Frame 31: Cars=11, Status=6 points (Heavy Traffic), Density=0.10, AvgSpeed=0.97, Score=6
Frame 32: Cars=11, Status=6 points (Heavy Traffic), Density=0.10, AvgSpeed=0.96, Score=6
Frame 33: Cars=11, Status=6 points (Heavy Traffic), Density=0.10, AvgSpeed=0.94, Score=6
Frame 34: Cars=11, Status=6 points (Heavy Traffic), Density=0.11, AvgSpeed=0.92, Score=6
Frame 35: Cars=11, Status=6 points (Heavy Traffic), Density=0.11, AvgSpeed=0.90, Score=6
Frame 36: Cars=11, Status=6 points (Heavy Traffic), Density=0.11, AvgSpeed=0.89, Score=6
Frame 37: Cars=11, Status=6 points (Heavy Traffic), Density=0.11, AvgSpeed=0.87, Score=6
Frame 38: Cars=11, Status=6 points (Heavy Traffic), Density=0.11, AvgSpeed=0.85, Score=6
Frame 39: Cars=11, Status=6 points (Heavy Traffic), Density=0.12, AvgSpeed=0.83, Score=6
Frame 40: Cars=11, Status=6 points (Heavy Traffic), Density=0.12, AvgSpeed=0.81, Score=6
Frame 41: Cars=11, Status=6 points (Heavy Traffic), Density=0.12, AvgSpeed=0.79, Score=6
Frame 42: Cars=11, Status=6 points (Heavy Traffic), Density=0.12, AvgSpeed=0.77, Score=6
Frame 43: Cars=11, Status=6 points (Heavy Traffic), Density=0.12, AvgSpeed=0.75, Score=6
Frame 44: Cars=11, Status=6 points (Heavy Traffic), Density=0.12, AvgSpeed=0.73, Score=6
Frame 45: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.72, Score=6
Frame 46: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.70, Score=6
Frame 47: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.70, Score=6
Frame 48: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.70, Score=6
Frame 49: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.70, Score=6
Frame 50: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.71, Score=6
Frame 51: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.71, Score=6
Frame 52: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.71, Score=6
Frame 53: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.69, Score=6
Frame 54: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.68, Score=6
Frame 55: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 56: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 57: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 58: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 59: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.66, Score=6
Frame 60: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 61: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 62: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.66, Score=6
Frame 63: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.65, Score=6
Frame 64: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.66, Score=6
Frame 65: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.66, Score=6
Frame 66: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.65, Score=6
Frame 67: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.64, Score=6
Frame 68: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.63, Score=6
Frame 69: Cars=11, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.63, Score=6
Frame 70: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.62, Score=6
Frame 71: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.61, Score=6
Frame 72: Cars=11, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.60, Score=6
Frame 73: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.60, Score=6
Frame 74: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.60, Score=6
Frame 75: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.59, Score=6
Frame 76: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.59, Score=6
Frame 77: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.59, Score=6
Frame 78: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.58, Score=6
Frame 79: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.58, Score=6
Frame 80: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.58, Score=6
Frame 81: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.57, Score=6
Frame 82: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.56, Score=6
Frame 83: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.57, Score=6
Frame 84: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.57, Score=6
Frame 85: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.57, Score=6
Frame 86: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.58, Score=6
Frame 87: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.58, Score=6
Frame 88: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.58, Score=6
Frame 89: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.58, Score=6
Frame 90: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.60, Score=6
Frame 91: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.62, Score=6
Frame 92: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.62, Score=6
Frame 93: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.63, Score=6
Frame 94: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.63, Score=6
Frame 95: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.64, Score=6
Frame 96: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.65, Score=6
Frame 97: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.65, Score=6
Frame 98: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.66, Score=6
Frame 99: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 100: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 101: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 102: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 103: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.67, Score=6
Frame 104: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.68, Score=6
Frame 105: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.69, Score=6
Frame 106: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.70, Score=6
Frame 107: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.70, Score=6
Frame 108: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.72, Score=6
Frame 109: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.73, Score=6
Frame 110: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.72, Score=6
Frame 111: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.72, Score=6
Frame 112: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.74, Score=6
Frame 113: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.74, Score=6
Frame 114: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.75, Score=6
Frame 115: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.76, Score=6
Frame 116: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.77, Score=6
Frame 117: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.79, Score=6
Frame 118: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.80, Score=6
Frame 119: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.81, Score=6
