Frame 0: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.93, Score=6
Frame 1: Cars=13, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.90, Score=6
Frame 2: Cars=12, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=3.49, Score=6
Frame 3: Cars=12, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=3.47, Score=6
Frame 4: Cars=12, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=3.46, Score=6
Frame 5: Cars=12, Status=6 points (Heavy Traffic), Density=0.19, AvgSpeed=3.46, Score=6
Frame 6: Cars=12, Status=6 points (Heavy Traffic), Density=0.19, AvgSpeed=3.45, Score=6
Frame 7: Cars=12, Status=6 points (Heavy Traffic), Density=0.19, AvgSpeed=3.44, Score=6
Frame 8: Cars=12, Status=6 points (Heavy Traffic), Density=0.18, AvgSpeed=3.44, Score=6
Frame 9: Cars=12, Status=6 points (Heavy Traffic), Density=0.18, AvgSpeed=3.45, Score=6
Frame 10: Cars=12, Status=6 points (Heavy Traffic), Density=0.18, AvgSpeed=3.45, Score=6
Frame 11: Cars=12, Status=6 points (Heavy Traffic), Density=0.18, AvgSpeed=3.44, Score=6
Frame 12: Cars=12, Status=6 points (Heavy Traffic), Density=0.17, AvgSpeed=3.45, Score=6
Frame 13: Cars=12, Status=6 points (Heavy Traffic), Density=0.17, AvgSpeed=3.45, Score=6
Frame 14: Cars=12, Status=6 points (Heavy Traffic), Density=0.17, AvgSpeed=3.44, Score=6
Frame 15: Cars=12, Status=6 points (Heavy Traffic), Density=0.17, AvgSpeed=3.45, Score=6
Frame 16: Cars=12, Status=6 points (Heavy Traffic), Density=0.16, AvgSpeed=3.46, Score=6
Frame 17: Cars=12, Status=6 points (Heavy Traffic), Density=0.16, AvgSpeed=3.45, Score=6
Frame 18: Cars=12, Status=6 points (Heavy Traffic), Density=0.16, AvgSpeed=3.46, Score=6
Frame 19: Cars=12, Status=6 points (Heavy Traffic), Density=0.16, AvgSpeed=3.46, Score=6
Frame 20: Cars=12, Status=6 points (Heavy Traffic), Density=0.15, AvgSpeed=3.45, Score=6
Frame 21: Cars=12, Status=6 points (Heavy Traffic), Density=0.15, AvgSpeed=3.44, Score=6
Frame 22: Cars=12, Status=6 points (Heavy Traffic), Density=0.15, AvgSpeed=3.42, Score=6
Frame 23: Cars=12, Status=6 points (Heavy Traffic), Density=0.15, AvgSpeed=3.42, Score=6
Frame 24: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=3.42, Score=6
Frame 25: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=3.42, Score=6
Frame 26: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=3.42, Score=6
Frame 27: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=3.42, Score=6
Frame 28: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=3.43, Score=6
Frame 29: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=3.42, Score=6
Frame 30: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=3.42, Score=6
Frame 31: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=3.41, Score=6
Frame 32: Cars=12, Status=6 points (Heavy Traffic), Density=0.12, AvgSpeed=3.41, Score=6
Frame 33: Cars=11, Status=6 points (Heavy Traffic), Density=0.12, AvgSpeed=3.40, Score=6
Frame 34: Cars=11, Status=6 points (Heavy Traffic), Density=0.12, AvgSpeed=3.39, Score=6
Frame 35: Cars=11, Status=6 points (Heavy Traffic), Density=0.11, AvgSpeed=3.38, Score=6
Frame 36: Cars=11, Status=6 points (Heavy Traffic), Density=0.11, AvgSpeed=3.38, Score=6
Frame 37: Cars=11, Status=6 points (Heavy Traffic), Density=0.11, AvgSpeed=3.37, Score=6
Frame 38: Cars=11, Status=6 points (Heavy Traffic), Density=0.11, AvgSpeed=3.37, Score=6
Frame 39: Cars=11, Status=6 points (Heavy Traffic), Density=0.11, AvgSpeed=3.36, Score=6
Frame 40: Cars=11, Status=6 points (Heavy Traffic), Density=0.10, AvgSpeed=3.34, Score=6
Frame 41: Cars=11, Status=5 points (Congested), Density=0.10, AvgSpeed=3.34, Score=5
Frame 42: Cars=11, Status=5 points (Congested), Density=0.10, AvgSpeed=3.33, Score=5
Frame 43: Cars=11, Status=6 points (Heavy Traffic), Density=0.09, AvgSpeed=3.31, Score=6
Frame 44: Cars=11, Status=6 points (Heavy Traffic), Density=0.09, AvgSpeed=3.30, Score=6
Frame 45: Cars=11, Status=6 points (Heavy Traffic), Density=0.09, AvgSpeed=3.29, Score=6
Frame 46: Cars=11, Status=6 points (Heavy Traffic), Density=0.09, AvgSpeed=3.29, Score=6
Frame 47: Cars=11, Status=5 points (Congested), Density=0.08, AvgSpeed=3.28, Score=5
Frame 48: Cars=11, Status=5 points (Congested), Density=0.08, AvgSpeed=3.28, Score=5
Frame 49: Cars=11, Status=5 points (Congested), Density=0.08, AvgSpeed=3.27, Score=5
Frame 50: Cars=11, Status=6 points (Heavy Traffic), Density=0.08, AvgSpeed=3.28, Score=6
Frame 51: Cars=11, Status=6 points (Heavy Traffic), Density=0.08, AvgSpeed=3.29, Score=6
Frame 52: Cars=11, Status=6 points (Heavy Traffic), Density=0.08, AvgSpeed=0.69, Score=6
Frame 53: Cars=11, Status=6 points (Heavy Traffic), Density=0.08, AvgSpeed=0.70, Score=6
Frame 54: Cars=11, Status=6 points (Heavy Traffic), Density=0.08, AvgSpeed=0.70, Score=6
Frame 55: Cars=11, Status=6 points (Heavy Traffic), Density=0.08, AvgSpeed=0.70, Score=6
Frame 56: Cars=11, Status=6 points (Heavy Traffic), Density=0.08, AvgSpeed=0.69, Score=6
Frame 57: Cars=11, Status=6 points (Heavy Traffic), Density=0.08, AvgSpeed=0.70, Score=6
Frame 58: Cars=11, Status=6 points (Heavy Traffic), Density=0.08, AvgSpeed=0.70, Score=6
